"date","temperatures","humidity","pressure","energy"
"2021-01-01 00:00:00",-1.8,79,1018.5,234.624000000068
"2021-01-01 01:00:00",-2.9,83,1018.2,223.16106249997583
"2021-01-01 02:00:00",-2.9,81,1018.2,214.9821875
"2021-01-01 03:00:00",-2.8,86,1018.6,221.573375
"2021-01-01 04:00:00",-2.9,87,1018.6,218.698625
"2021-01-01 05:00:00",-4.1,93,1018.2,220.3102500000001
"2021-01-01 06:00:00",-4.8,92,1018.4,221.44824999999992
"2021-01-01 07:00:00",-4.3,94,1018.9,226.70924999999988
"2021-01-01 08:00:00",-3.9,95,1018.8,231.87462500000012
"2021-01-01 09:00:00",-3,95,1019.1,243.492125
"2021-01-01 10:00:00",-2.5,93,1019.6,245.1534999999999
"2021-01-01 11:00:00",-0.9,86,1019.3,248.7082500000001
"2021-01-01 12:00:00",0.4,79,1018.4,259.57299999999987
"2021-01-01 13:00:00",1.5,74,1017.6,265.37275
"2021-01-01 14:00:00",1.7,74,1017.3,246.70225000000028
"2021-01-01 15:00:00",2.8,70,1016.8,237.7259999999997
"2021-01-01 16:00:00",2.4,63,1016.8,247.9605000000001
"2021-01-01 17:00:00",2.1,67,1016.7,257.35275
"2021-01-01 18:00:00",1.1,78,1016.7,256.21375000000035
"2021-01-01 19:00:00",1.5,72,1016.8,248.23700000000008
"2021-01-01 20:00:00",1.8,68,1017,251.17349999999988
"2021-01-01 21:00:00",1.1,76,1016.9,254.6894999999995
"2021-01-01 22:00:00",0.8,84,1017,249.7465000000002
"2021-01-01 23:00:00",0.7,87,1016.6,234.9110000000001
"2021-01-02 00:00:00",0.7,89,1016.6,226.14850000000024
"2021-01-02 01:00:00",0.2,95,1016.7,211.94750000000025
"2021-01-02 02:00:00",0.1,97,1016.8,210.78949999999983
"2021-01-02 03:00:00",-0.1,98,1016.5,212.78049999999985
"2021-01-02 04:00:00",0.2,98,1016.6,208.11300000000028
"2021-01-02 05:00:00",0,98,1016.4,212.03149999999917
"2021-01-02 06:00:00",0.1,98,1017,210.35800000000015
"2021-01-02 07:00:00",0,98,1017.6,219.9470000000001
"2021-01-02 08:00:00",-0.5,97,1018.2,223.9409999999998
"2021-01-02 09:00:00",-0.3,94,1019.1,237.35400000000027
"2021-01-02 10:00:00",0.7,79,1020,240.491
"2021-01-02 11:00:00",1.4,64,1020.1,238.3035
"2021-01-02 12:00:00",1.5,55,1019.8,249.7460000000001
"2021-01-02 13:00:00",2.2,48,1020,252.5030000000006
"2021-01-02 14:00:00",2.5,46,1019.8,251.8709999999992
"2021-01-02 15:00:00",2.4,38,1019.5,261.51900000000023
"2021-01-02 16:00:00",1.7,33,1019.8,271.65500000000065
"2021-01-02 17:00:00",0.2,41,1021.6,268.59599999999955
"2021-01-02 18:00:00",-0.6,48,1022.2,290.22899999999936
"2021-01-02 19:00:00",-1,51,1022.3,285.95700000000033
"2021-01-02 20:00:00",-1.9,54,1022.1,278.237000000001
"2021-01-02 21:00:00",-2.3,54,1022.1,273.27999999999884
"2021-01-02 22:00:00",-2.6,55,1021.7,270.65999999999985
"2021-01-02 23:00:00",-3.1,58,1022.8,259.8670000000002
"2021-01-03 00:00:00",-2.9,57,1023.2,250.15799999999945
"2021-01-03 01:00:00",-2.6,56,1024.1,229.6220000000012
"2021-01-03 02:00:00",-2.6,62,1024.1,229.46199999999956
"2021-01-03 03:00:00",-2.7,59,1024.2,225.1200000000008
"2021-01-03 04:00:00",-2.6,56,1024,225.5819999999985
"2021-01-03 05:00:00",-2.7,55,1024.6,224.45400000000157
"2021-01-03 06:00:00",-2.8,56,1025.1,222.15299999999843
"2021-01-03 07:00:00",-2.9,59,1025.1,224.39500000000044
"2021-01-03 08:00:00",-3.2,57,1024.9,236.509
"2021-01-03 09:00:00",-2.2,52,1025.2,244.6180000000004
"2021-01-03 10:00:00",-0.7,45,1025.9,237.9930000000004
"2021-01-03 11:00:00",0.3,42,1025.6,235.92499999999927
"2021-01-03 12:00:00",1.1,43,1025,235.1869999999999
"2021-01-03 13:00:00",2.3,44,1024,247.5
"2021-01-03 14:00:00",3.4,42,1023.6,255.0110000000004
"2021-01-03 15:00:00",2.8,47,1023.8,261.1000000000004
"2021-01-03 16:00:00",2.3,49,1023.5,287.46099999999933
"2021-01-03 17:00:00",1.5,51,1023.6,290.6360000000004
"2021-01-03 18:00:00",0.8,54,1023.9,293.473
"2021-01-03 19:00:00",0.5,55,1024,288.63800000000083
"2021-01-03 20:00:00",0.1,58,1024,276.5100000000002
"2021-01-03 21:00:00",-0.3,58,1024.1,270.5699999999997
"2021-01-03 22:00:00",-0.5,58,1024.2,254.8060000000005
"2021-01-03 23:00:00",-0.7,61,1024.5,252.1959999999999
"2021-01-04 00:00:00",-1.3,68,1024.3,236.8780000000006
"2021-01-04 01:00:00",-1.2,70,1024.5,222.4519999999975
"2021-01-04 02:00:00",-2.3,74,1024.5,217.1820000000007
"2021-01-04 03:00:00",-2.5,76,1024.3,214.4399999999987
"2021-01-04 04:00:00",-2.5,77,1024.1,214.00800000000163
"2021-01-04 05:00:00",-2.9,81,1023.8,216.64600000000064
"2021-01-04 06:00:00",-3.5,84,1023.7,224.65999999999983
"2021-01-04 07:00:00",-2.8,73,1023,226.8139999999985
"2021-01-04 08:00:00",-2.3,64,1021.8,247.95999999999916
"2021-01-04 09:00:00",-2.8,83,1023,295.45400000000154
"2021-01-04 10:00:00",-0.7,63,1024.1,366.8240000000005
"2021-01-04 11:00:00",0.8,56,1023.8,399.119999999999
"2021-01-04 12:00:00",3.6,48,1022.3,380.0980000000018
"2021-01-04 13:00:00",4.7,49,1021.7,356.47599999999875
"2021-01-04 14:00:00",5.8,46,1020.8,366.7599999999984
"2021-01-04 15:00:00",6.6,48,1020.3,357.8820000000014
"2021-01-04 16:00:00",5.6,57,1020,179.66800000000148
"2021-01-04 17:00:00",4.5,61,1019.6,0
"2021-01-04 18:00:00",4.1,62,1019.9,356.974000000002
"2021-01-04 19:00:00",3.3,72,1020.2,329.53800000000047
"2021-01-04 20:00:00",2.7,81,1020,307.2099999999991
"2021-01-04 21:00:00",2.2,83,1020.6,303.40399999999863
"2021-01-04 22:00:00",1.9,86,1020.2,302.5560000000005
"2021-01-04 23:00:00",1.4,88,1020.1,279.4439999999995
"2021-01-05 00:00:00",1.7,90,1020.2,260.81600000000253
"2021-01-05 01:00:00",1.3,93,1019.8,231.26800000000003
"2021-01-05 02:00:00",1.2,92,1019.8,226.65799999999945
"2021-01-05 03:00:00",1.1,92,1019.7,224.525999999998
"2021-01-05 04:00:00",1.2,93,1019.2,225.9860000000008
"2021-01-05 05:00:00",1.2,95,1018.4,222.15999999999983
"2021-01-05 06:00:00",1.4,94,1018.6,219.1700000000019
"2021-01-05 07:00:00",1.9,84,1020.3,227.59999999999852
"2021-01-05 08:00:00",1.1,67,1020.6,244.25
"2021-01-05 09:00:00",1.7,62,1021.3,257.70200000000114
"2021-01-05 10:00:00",2.7,58,1021.5,334.7199999999975
"2021-01-05 11:00:00",2.9,50,1021.9,367.5780000000013
"2021-01-05 12:00:00",2.1,54,1021.7,387.02800000000207
"2021-01-05 13:00:00",1.6,54,1020.2,372.1479999999974
"2021-01-05 14:00:00",1.3,50,1019,395.0300000000025
"2021-01-05 15:00:00",0.3,49,1019.2,399.2559999999976
"2021-01-05 16:00:00",-0.2,48,1018.7,408.6080000000002
"2021-01-05 17:00:00",-0.8,47,1019.3,409.5120000000024
"2021-01-05 18:00:00",-1.5,48,1020.4,391.7239999999984
"2021-01-05 19:00:00",-2.1,49,1020.5,368.1219999999994
"2021-01-05 20:00:00",-2.5,52,1020.3,339.2560000000012
"2021-01-05 21:00:00",-2.8,55,1020.6,318.1859999999979
"2021-01-05 22:00:00",-3.2,58,1020.3,302.992000000002
"2021-01-05 23:00:00",-3.5,63,1020.5,287.1899999999987
"2021-01-06 00:00:00",-4,65,1020.5,266.7260000000024
"2021-01-06 01:00:00",-4.3,64,1020.6,248.3040000000001
"2021-01-06 02:00:00",-4.9,62,1020.3,241.69799999999668
"2021-01-06 03:00:00",-5.1,61,1020.1,229.8100000000013
"2021-01-06 04:00:00",-5.1,60,1018.9,232.7280000000028
"2021-01-06 05:00:00",-5.4,61,1018.9,233.47799999999552
"2021-01-06 06:00:00",-5.4,59,1018.5,239.0780000000013
"2021-01-06 07:00:00",-5.4,62,1018.4,242.1359999999986
"2021-01-06 08:00:00",-4.9,57,1018.5,249.2479999999996
"2021-01-06 09:00:00",-4.5,55,1019,277.6680000000051
"2021-01-06 10:00:00",-3.9,55,1018.4,368.0959999999977
"2021-01-06 11:00:00",-1.8,53,1017.8,397.4479999999967
"2021-01-06 12:00:00",-0.8,51,1017.2,406.4520000000048
"2021-01-06 13:00:00",-0.8,51,1014.7,405.387999999999
"2021-01-06 14:00:00",0.1,50,1013.9,396.0279999999984
"2021-01-06 15:00:00",1.5,44,1013.4,399.4959999999992
"2021-01-06 16:00:00",0.4,48,1013.7,392.60399999999936
"2021-01-06 17:00:00",-0.3,55,1014,398.4520000000048
"2021-01-06 18:00:00",-1.8,81,1014,385.791999999994
"2021-01-06 19:00:00",-1.8,87,1013.7,359.00800000000163
"2021-01-06 20:00:00",-1.7,84,1013.6,331.8480000000054
"2021-01-06 21:00:00",-1.5,83,1012.6,318.60399999999936
"2021-01-06 22:00:00",-1.9,92,1012,319.8240000000005
"2021-01-06 23:00:00",-1.9,96,1012,296.3919999999998
"2021-01-07 00:00:00",-1.6,93,1012.8,274.9879999999976
"2021-01-07 01:00:00",-2.5,69,1013.8,266.58400000000256
"2021-01-07 02:00:00",-3.7,62,1013.7,265.0720000000001
"2021-01-07 03:00:00",-4.6,91,1013.7,254.2599999999948
"2021-01-07 04:00:00",-5.3,87,1014.1,250.88000000000463
"2021-01-07 05:00:00",-6.2,77,1014.9,244.94799999999668
"2021-01-07 06:00:00",-6.6,77,1015.4,248.3439999999973
"2021-01-07 07:00:00",-7,69,1015.9,246.15600000000268
"2021-01-07 08:00:00",-7.4,84,1016.7,264.1200000000026
"2021-01-07 09:00:00",-8,84,1017.5,292.98399999999674
"2021-01-07 10:00:00",-8.7,86,1018.7,352.2200000000012
"2021-01-07 11:00:00",-8.8,82,1018.6,420.3799999999974
"2021-01-07 12:00:00",-8.4,78,1018.1,437.7560000000012
"2021-01-07 13:00:00",-8.5,72,1017.8,448.4599999999991
"2021-01-07 14:00:00",-7.5,60,1016.9,455.4959999999992
"2021-01-07 15:00:00",-7.9,56,1016.9,444.5760000000009
