date,temperatures,humidity,pressure,energy
1/1/2021 0:00,-1.8,79,1018.5,151.04
1/1/2021 1:00,-2.9,83,1018.2,152.2725781
1/1/2021 2:00,-2.9,81,1018.2,151.6989844
1/1/2021 3:00,-2.8,86,1018.6,146.8430937
1/1/2021 4:00,-2.9,87,1018.6,145.5366563
1/1/2021 5:00,-4.1,93,1018.2,149.1186875
1/1/2021 6:00,-4.8,92,1018.4,145.2428125
1/1/2021 7:00,-4.3,94,1018.9,141.4411875
1/1/2021 8:00,-3.9,95,1018.8,128.288625
1/1/2021 9:00,-3,95,1019.1,128.90775
1/1/2021 10:00,-2.5,93,1019.6,126.77775
1/1/2021 11:00,-0.9,86,1019.3,130.34225
1/1/2021 12:00,0.4,79,1018.4,126.29475
1/1/2021 13:00,1.5,74,1017.6,129.592
1/1/2021 14:00,1.7,74,1017.3,127.5295
1/1/2021 15:00,2.8,70,1016.8,147.9215
1/1/2021 16:00,2.4,63,1016.8,158.217625
1/1/2021 17:00,2.1,67,1016.7,157.37075
1/1/2021 18:00,1.1,78,1016.7,163.607
1/1/2021 19:00,1.5,72,1016.8,165.832
1/1/2021 20:00,1.8,68,1017,173.4395
1/1/2021 21:00,1.1,76,1016.9,183.5735
1/1/2021 22:00,0.8,84,1017,165.13925
1/1/2021 23:00,0.7,87,1016.6,162.43375
1/2/2021 0:00,0.7,89,1016.6,159.823
1/2/2021 1:00,0.2,95,1016.7,157.436
1/2/2021 2:00,0.1,97,1016.8,156.845
1/2/2021 3:00,-0.1,98,1016.5,146.98125
1/2/2021 4:00,0.2,98,1016.6,146.156
1/2/2021 5:00,0,98,1016.4,150.11575
1/2/2021 6:00,0.1,98,1017,141.6955
1/2/2021 7:00,0,98,1017.6,130.0085
1/2/2021 8:00,-0.5,97,1018.2,120.6355
1/2/2021 9:00,-0.3,94,1019.1,132.042
1/2/2021 10:00,0.7,79,1020,129.147
1/2/2021 11:00,1.4,64,1020.1,135.978
1/2/2021 12:00,1.5,55,1019.8,146.4815
1/2/2021 13:00,2.2,48,1020,145.252
1/2/2021 14:00,2.5,46,1019.8,164.404
1/2/2021 15:00,2.4,38,1019.5,184.5535
1/2/2021 16:00,1.7,33,1019.8,183.171
1/2/2021 17:00,0.2,41,1021.6,175.5115
1/2/2021 18:00,-0.6,48,1022.2,196.834
1/2/2021 19:00,-1,51,1022.3,193.1145
1/2/2021 20:00,-1.9,54,1022.1,183.819
1/2/2021 21:00,-2.3,54,1022.1,179.42
1/2/2021 22:00,-2.6,55,1021.7,179.9485
1/2/2021 23:00,-3.1,58,1022.8,178.014
1/3/2021 0:00,-2.9,57,1023.2,169.148
1/3/2021 1:00,-2.6,56,1024.1,150.1595
1/3/2021 2:00,-2.6,62,1024.1,150.283
1/3/2021 3:00,-2.7,59,1024.2,151.312
1/3/2021 4:00,-2.6,56,1024,143.6415
1/3/2021 5:00,-2.7,55,1024.6,144.7725
1/3/2021 6:00,-2.8,56,1025.1,143.8865
1/3/2021 7:00,-2.9,59,1025.1,133.1525
1/3/2021 8:00,-3.2,57,1024.9,127.546
1/3/2021 9:00,-2.2,52,1025.2,131.009
1/3/2021 10:00,-0.7,45,1025.9,137.779
1/3/2021 11:00,0.3,42,1025.6,150.929
1/3/2021 12:00,1.1,43,1025,156.379
1/3/2021 13:00,2.3,44,1024,153.617
1/3/2021 14:00,3.4,42,1023.6,157.784
1/3/2021 15:00,2.8,47,1023.8,172.796
1/3/2021 16:00,2.3,49,1023.5,193.056
1/3/2021 17:00,1.5,51,1023.6,197.332
1/3/2021 18:00,0.8,54,1023.9,202.505
1/3/2021 19:00,0.5,55,1024,189.093
1/3/2021 20:00,0.1,58,1024,179.959
1/3/2021 21:00,-0.3,58,1024.1,188.385
1/3/2021 22:00,-0.5,58,1024.2,182.283
1/3/2021 23:00,-0.7,61,1024.5,185.079
1/4/2021 0:00,-1.3,68,1024.3,165.461
1/4/2021 1:00,-1.2,70,1024.5,154.27
1/4/2021 2:00,-2.3,74,1024.5,150.996
1/4/2021 3:00,-2.5,76,1024.3,149.086
1/4/2021 4:00,-2.5,77,1024.1,145.371
1/4/2021 5:00,-2.9,81,1023.8,142.201
1/4/2021 6:00,-3.5,84,1023.7,143.049
1/4/2021 7:00,-2.8,73,1023,146.297
1/4/2021 8:00,-2.3,64,1021.8,149.063
1/4/2021 9:00,-2.8,83,1023,159.476
1/4/2021 10:00,-0.7,63,1024.1,189.238
1/4/2021 11:00,0.8,56,1023.8,197.976
1/4/2021 12:00,3.6,48,1022.3,221.038
1/4/2021 13:00,4.7,49,1021.7,216.699
1/4/2021 14:00,5.8,46,1020.8,226.082
1/4/2021 15:00,6.6,48,1020.3,243.913
1/4/2021 16:00,5.6,57,1020,230.165
1/4/2021 17:00,4.5,61,1019.6,0
1/4/2021 18:00,4.1,62,1019.9,264.598
1/4/2021 19:00,3.3,72,1020.2,238.386
1/4/2021 20:00,2.7,81,1020,222.901
1/4/2021 21:00,2.2,83,1020.6,209.285
1/4/2021 22:00,1.9,86,1020.2,200.552
1/4/2021 23:00,1.4,88,1020.1,196.535
1/5/2021 0:00,1.7,90,1020.2,179.729
1/5/2021 1:00,1.3,93,1019.8,165.626
1/5/2021 2:00,1.2,92,1019.8,152.233
1/5/2021 3:00,1.1,92,1019.7,146.857
1/5/2021 4:00,1.2,93,1019.2,143.094
1/5/2021 5:00,1.2,95,1018.4,142.966
1/5/2021 6:00,1.4,94,1018.6,140.469
1/5/2021 7:00,1.9,84,1020.3,143.864
1/5/2021 8:00,1.1,67,1020.6,134.992
1/5/2021 9:00,1.7,62,1021.3,159.722
1/5/2021 10:00,2.7,58,1021.5,186.646
1/5/2021 11:00,2.9,50,1021.9,209.84
1/5/2021 12:00,2.1,54,1021.7,230.822
1/5/2021 13:00,1.6,54,1020.2,252.158
