Unnamed: 0	datetime	Amount of Consumption	Temperature
897	2020-09-29 00:00:00	4.45	15.1
898	2020-09-29 01:00:00	4.53	14.8
899	2020-09-29 02:00:00	4.48	14.3
900	2020-09-29 03:00:00	4.72	13.6
901	2020-09-29 04:00:00	4.5	13.2
902	2020-09-29 05:00:00	5.32	12.8
903	2020-09-29 06:00:00	4.48	12.7
904	2020-09-29 07:00:00	4.47	12.7
905	2020-09-29 08:00:00	6.55	14.9
906	2020-09-29 09:00:00	12.52	16.2
907	2020-09-29 10:00:00	11.81	18.7
908	2020-09-29 11:00:00	10.73	21.2
909	2020-09-29 12:00:00	4.84	22.7
910	2020-09-29 13:00:00	4.02	23.1
911	2020-09-29 14:00:00	3.87	23.7
912	2020-09-29 15:00:00	4.05	23.6
913	2020-09-29 16:00:00	3.72	23.2
914	2020-09-29 17:00:00	3.6	21.9
915	2020-09-29 18:00:00	3.27	20.6
916	2020-09-29 19:00:00	3.23	19.5
917	2020-09-29 20:00:00	4.01	18.3
918	2020-09-29 21:00:00	3.31	18.2
919	2020-09-29 22:00:00	3.35	17.6
920	2020-09-29 23:00:00	3.25	16.6
921	2020-09-30 00:00:00	3.58	16.0
922	2020-09-30 01:00:00	3.4	15.6
923	2020-09-30 02:00:00	3.43	15.1
924	2020-09-30 03:00:00	3.91	14.4
925	2020-09-30 04:00:00	3.36	14.5
926	2020-09-30 05:00:00	3.67	14.3
927	2020-09-30 06:00:00	3.37	14.2
928	2020-09-30 07:00:00	3.45	13.9
929	2020-09-30 08:00:00	3.24	15.2
930	2020-09-30 09:00:00	3.32	17.3
931	2020-09-30 10:00:00	3.97	19.7
932	2020-09-30 11:00:00	3.54	21.7
933	2020-09-30 12:00:00	3.28	22.8
934	2020-09-30 13:00:00	3.21	24.2
935	2020-09-30 14:00:00	3.2	24.5
936	2020-09-30 15:00:00	3.33	23.3
937	2020-09-30 16:00:00	2.53	21.2
938	2020-09-30 17:00:00	3.06	21.2
939	2020-09-30 18:00:00	2.14	19.9
940	2020-09-30 19:00:00	2.18	19.1
941	2020-09-30 20:00:00	2.15	18.2
942	2020-09-30 21:00:00	2.17	17.7
943	2020-09-30 22:00:00	2.15	17.1
944	2020-09-30 23:00:00	2.11	17.3
945	2020-10-01 00:00:00	2.41	17.0
