datetime	Amount of Consumption	Temperature
2020-09-01 01:00:00	5.65	
2020-09-01 02:00:00	4.91	
2020-09-01 03:00:00	4.85	
2020-09-01 04:00:00	5.04	
2020-09-01 05:00:00	4.85	
2020-09-01 06:00:00	5.11	
2020-09-01 07:00:00	6.24	
2020-09-01 08:00:00	21.25	
2020-09-01 09:00:00	76.59	
2020-09-01 10:00:00	87.3	
2020-09-01 11:00:00	92.58	
2020-09-01 12:00:00	95.88	
2020-09-01 13:00:00	64.66	
2020-09-01 14:00:00	62.77	
2020-09-01 15:00:00	93.27	
2020-09-01 16:00:00	86.86	
2020-09-01 17:00:00	87.1	
2020-09-01 18:00:00	75.18	
2020-09-01 19:00:00	71.44	
2020-09-01 20:00:00	73.6	
2020-09-01 21:00:00	43.87	
2020-09-01 22:00:00	16.52	
2020-09-01 23:00:00	16.07	
2020-09-02 00:00:00	12.53	
2020-09-02 01:00:00	10.79	
2020-09-02 02:00:00	10.31	
2020-09-02 03:00:00	9.35	
2020-09-02 04:00:00	6.53	
2020-09-02 05:00:00	6.67	
2020-09-02 06:00:00	6.33	
2020-09-02 07:00:00	6.41	
2020-09-02 08:00:00	29.22	
2020-09-02 09:00:00	82.2	
2020-09-02 10:00:00	85.11	
2020-09-02 11:00:00	93.72	
2020-09-02 12:00:00	102.35	
2020-09-02 13:00:00	74.62	
2020-09-02 14:00:00	80.79	
2020-09-02 15:00:00	108.04	
2020-09-02 16:00:00	105.43	
2020-09-02 17:00:00	95.01	
2020-09-02 18:00:00	89.9	
2020-09-02 19:00:00	86.87	
2020-09-02 20:00:00	95.87	
2020-09-02 21:00:00	44.11	
2020-09-02 22:00:00	20.4	
2020-09-02 23:00:00	12.73	
2020-09-03 00:00:00	9.05	
2020-09-03 01:00:00	7.89	
2020-09-03 02:00:00	6.96	
2020-09-03 03:00:00	7.09	
2020-09-03 04:00:00	6.73	
2020-09-03 05:00:00	7.1	
2020-09-03 06:00:00	6.94	
2020-09-03 07:00:00	7.19	
2020-09-03 08:00:00	27.51	
2020-09-03 09:00:00	93.75	
2020-09-03 10:00:00	113.94	
2020-09-03 11:00:00	102.79	
2020-09-03 12:00:00	113.26	
2020-09-03 13:00:00	67.57	
2020-09-03 14:00:00	60.62	
2020-09-03 15:00:00	128.58	
2020-09-03 16:00:00	85.42	
2020-09-03 17:00:00	122.42	
2020-09-03 18:00:00	78.95	
2020-09-03 19:00:00	97.51	
2020-09-03 20:00:00	92.5	
2020-09-03 21:00:00	49.39	
2020-09-03 22:00:00	23.1	
2020-09-03 23:00:00	20.17	
2020-09-04 00:00:00	15.75	
2020-09-04 01:00:00	14.51	
2020-09-04 02:00:00	13.88	
2020-09-04 03:00:00	12.16	
2020-09-04 04:00:00	10.48	
2020-09-04 05:00:00	8.44	
2020-09-04 06:00:00	8.59	
2020-09-04 07:00:00	6.91	
2020-09-04 08:00:00	29.24	
2020-09-04 09:00:00	73.83	
2020-09-04 10:00:00	84.59	
2020-09-04 11:00:00	66.97	
2020-09-04 12:00:00	70.7	
2020-09-04 13:00:00	49.3	
2020-09-04 14:00:00	43.11	
2020-09-04 15:00:00	111.6	
2020-09-04 16:00:00	104.03	
2020-09-04 17:00:00	130.02	
2020-09-04 18:00:00	53.07	
2020-09-04 19:00:00	8.73	
2020-09-04 20:00:00	7.04	
2020-09-04 21:00:00	6.69	
2020-09-04 22:00:00	8.11	
2020-09-04 23:00:00	9.35	
2020-09-05 00:00:00	8.5	
2020-09-05 01:00:00	6.35	
2020-09-05 02:00:00	6.62	
2020-09-05 03:00:00	6.34	
2020-09-05 04:00:00	6.16	
2020-09-05 05:00:00	6.18	
2020-09-05 06:00:00	6.56	
2020-09-05 07:00:00	6.26	
2020-09-05 08:00:00	29.97	
2020-09-05 09:00:00	81.93	
2020-09-05 10:00:00	120.86	
2020-09-05 11:00:00	94.84	
2020-09-05 12:00:00	107.24	
2020-09-05 13:00:00	42.62	
2020-09-05 14:00:00	78.7	
2020-09-05 15:00:00	91.39	
2020-09-05 16:00:00	78.9	
2020-09-05 17:00:00	48.22	
2020-09-05 18:00:00	8.2	
2020-09-05 19:00:00	5.37	
2020-09-05 20:00:00	6.79	
2020-09-05 21:00:00	8.16	
2020-09-05 22:00:00	8.1	
2020-09-05 23:00:00	8.35	
2020-09-06 00:00:00	8.44	
2020-09-06 01:00:00	8.08	
2020-09-06 02:00:00	7.74	
2020-09-06 03:00:00	6.32	
2020-09-06 04:00:00	5.98	
2020-09-06 05:00:00	5.49	
2020-09-06 06:00:00	5.6	
2020-09-06 07:00:00	5.45	
2020-09-06 08:00:00	5.45	
2020-09-06 09:00:00	5.71	
2020-09-06 10:00:00	6.55	
2020-09-06 11:00:00	6.2	
2020-09-06 12:00:00	5.75	
2020-09-06 13:00:00	5.67	
2020-09-06 14:00:00	7.02	
2020-09-06 15:00:00	7.17	
2020-09-06 16:00:00	5.82	
2020-09-06 17:00:00	5.54	
2020-09-06 18:00:00	7.49	
2020-09-06 19:00:00	9.45	
2020-09-06 20:00:00	8.48	
2020-09-06 21:00:00	7.63	
2020-09-06 22:00:00	9.37	
2020-09-06 23:00:00	7.19	
2020-09-07 00:00:00	6.25	
2020-09-07 01:00:00	5.88	
2020-09-07 02:00:00	5.43	
2020-09-07 03:00:00	5.05	
2020-09-07 04:00:00	4.95	
2020-09-07 05:00:00	4.98	
2020-09-07 06:00:00	5.02	
2020-09-07 07:00:00	6.54	
2020-09-07 08:00:00	22.48	
2020-09-07 09:00:00	88.38	
2020-09-07 10:00:00	97.65	
