datetime	Amount of Consumption	temperature
2020-09-01 01:00:00	1.94	
2020-09-01 02:00:00	1.86	
2020-09-01 03:00:00	1.77	
2020-09-01 04:00:00	2.0	
2020-09-01 05:00:00	1.91	
2020-09-01 06:00:00	1.93	
2020-09-01 07:00:00	1.89	
2020-09-01 08:00:00	1.88	
2020-09-01 09:00:00	2.99	
2020-09-01 10:00:00	4.83	
2020-09-01 11:00:00	4.82	
2020-09-01 12:00:00	5.71	
2020-09-01 13:00:00	5.65	
2020-09-01 14:00:00	28.16	
2020-09-01 15:00:00	35.47	
2020-09-01 16:00:00	35.2	
2020-09-01 17:00:00	33.48	
2020-09-01 18:00:00	5.65	
2020-09-01 19:00:00	2.06	
2020-09-01 20:00:00	2.01	
2020-09-01 21:00:00	2.07	
2020-09-01 22:00:00	1.99	
2020-09-01 23:00:00	2.01	
2020-09-02 00:00:00	2.05	
2020-09-02 01:00:00	1.89	
2020-09-02 02:00:00	1.99	
2020-09-02 03:00:00	1.98	
2020-09-02 04:00:00	1.98	
2020-09-02 05:00:00	1.96	
2020-09-02 06:00:00	2.06	
2020-09-02 07:00:00	1.97	
2020-09-02 08:00:00	2.18	
2020-09-02 09:00:00	2.59	
2020-09-02 10:00:00	22.68	
2020-09-02 11:00:00	36.59	
2020-09-02 12:00:00	36.16	
2020-09-02 13:00:00	9.92	
2020-09-02 14:00:00	4.17	
2020-09-02 15:00:00	4.02	
2020-09-02 16:00:00	3.84	
2020-09-02 17:00:00	3.84	
2020-09-02 18:00:00	2.83	
2020-09-02 19:00:00	1.98	
2020-09-02 20:00:00	2.0	
2020-09-02 21:00:00	1.87	
2020-09-02 22:00:00	2.0	
2020-09-02 23:00:00	1.93	
2020-09-03 00:00:00	1.84	
2020-09-03 01:00:00	1.9	
2020-09-03 02:00:00	1.82	
2020-09-03 03:00:00	1.89	
2020-09-03 04:00:00	1.99	
2020-09-03 05:00:00	1.85	
2020-09-03 06:00:00	1.85	
2020-09-03 07:00:00	1.9	
2020-09-03 08:00:00	1.89	
2020-09-03 09:00:00	2.67	
2020-09-03 10:00:00	12.84	
2020-09-03 11:00:00	30.64	
2020-09-03 12:00:00	28.32	
2020-09-03 13:00:00	25.93	
2020-09-03 14:00:00	27.1	
2020-09-03 15:00:00	26.19	
2020-09-03 16:00:00	5.12	
2020-09-03 17:00:00	4.14	
2020-09-03 18:00:00	3.04	
2020-09-03 19:00:00	2.05	
2020-09-03 20:00:00	1.89	
2020-09-03 21:00:00	1.87	
2020-09-03 22:00:00	1.99	
2020-09-03 23:00:00	1.9	
2020-09-04 00:00:00	1.91	
2020-09-04 01:00:00	1.88	
2020-09-04 02:00:00	1.8	
2020-09-04 03:00:00	1.8	
2020-09-04 04:00:00	1.9	
2020-09-04 05:00:00	1.78	
2020-09-04 06:00:00	1.83	
2020-09-04 07:00:00	1.86	
2020-09-04 08:00:00	1.98	
2020-09-04 09:00:00	2.46	
2020-09-04 10:00:00	24.78	
2020-09-04 11:00:00	31.42	
2020-09-04 12:00:00	35.42	
2020-09-04 13:00:00	25.29	
2020-09-04 14:00:00	31.18	
2020-09-04 15:00:00	17.09	
2020-09-04 16:00:00	3.6	
2020-09-04 17:00:00	3.12	
2020-09-04 18:00:00	2.57	
2020-09-04 19:00:00	2.04	
2020-09-04 20:00:00	1.86	
2020-09-04 21:00:00	1.97	
2020-09-04 22:00:00	1.79	
2020-09-04 23:00:00	1.96	
2020-09-05 00:00:00	1.82	
2020-09-05 01:00:00	1.86	
2020-09-05 02:00:00	1.78	
2020-09-05 03:00:00	1.85	
2020-09-05 04:00:00	1.9	
2020-09-05 05:00:00	1.87	
2020-09-05 06:00:00	1.9	
2020-09-05 07:00:00	1.81	
2020-09-05 08:00:00	1.82	
2020-09-05 09:00:00	1.88	
2020-09-05 10:00:00	1.73	
2020-09-05 11:00:00	1.91	
2020-09-05 12:00:00	1.99	
2020-09-05 13:00:00	1.88	
2020-09-05 14:00:00	1.91	
2020-09-05 15:00:00	1.87	
2020-09-05 16:00:00	1.91	
2020-09-05 17:00:00	1.99	
2020-09-05 18:00:00	1.82	
2020-09-05 19:00:00	2.05	
2020-09-05 20:00:00	1.95	
2020-09-05 21:00:00	1.96	
2020-09-05 22:00:00	1.93	
2020-09-05 23:00:00	1.89	
2020-09-06 00:00:00	1.88	
2020-09-06 01:00:00	1.77	
2020-09-06 02:00:00	1.83	
2020-09-06 03:00:00	1.86	
2020-09-06 04:00:00	1.81	
2020-09-06 05:00:00	1.85	
2020-09-06 06:00:00	1.9	
2020-09-06 07:00:00	1.77	
2020-09-06 08:00:00	1.88	
2020-09-06 09:00:00	1.85	
2020-09-06 10:00:00	1.84	
2020-09-06 11:00:00	1.88	
2020-09-06 12:00:00	1.95	
2020-09-06 13:00:00	1.9	
2020-09-06 14:00:00	1.92	
2020-09-06 15:00:00	1.86	
2020-09-06 16:00:00	1.91	
2020-09-06 17:00:00	1.9	
2020-09-06 18:00:00	1.98	
2020-09-06 19:00:00	1.84	
2020-09-06 20:00:00	1.9	
2020-09-06 21:00:00	2.0	
2020-09-06 22:00:00	1.79	
2020-09-06 23:00:00	1.98	
2020-09-07 00:00:00	2.4	
2020-09-07 01:00:00	1.81	
2020-09-07 02:00:00	1.87	
2020-09-07 03:00:00	1.93	
2020-09-07 04:00:00	1.92	
2020-09-07 05:00:00	1.86	
2020-09-07 06:00:00	1.87	
2020-09-07 07:00:00	1.79	
2020-09-07 08:00:00	1.89	
2020-09-07 09:00:00	2.65	
2020-09-07 10:00:00	11.88	
2020-09-07 11:00:00	11.26	
2020-09-07 12:00:00	5.46	
2020-09-07 13:00:00	4.13	
2020-09-07 14:00:00	6.14	
2020-09-07 15:00:00	4.55	
2020-09-07 16:00:00	5.72	
2020-09-07 17:00:00	5.4	
2020-09-07 18:00:00	3.23	
2020-09-07 19:00:00	1.93	
2020-09-07 20:00:00	2.04	
2020-09-07 21:00:00	2.0	
2020-09-07 22:00:00	1.86	
2020-09-07 23:00:00	2.02	
2020-09-08 00:00:00	1.84	
2020-09-08 01:00:00	1.91	
2020-09-08 02:00:00	1.87	
2020-09-08 03:00:00	1.81	
2020-09-08 04:00:00	1.87	
2020-09-08 05:00:00	1.95	
2020-09-08 06:00:00	1.76	
2020-09-08 07:00:00	1.88	
2020-09-08 08:00:00	1.86	
2020-09-08 09:00:00	3.3	
2020-09-08 10:00:00	7.43	
2020-09-08 11:00:00	5.04	
2020-09-08 12:00:00	4.2	
2020-09-08 13:00:00	2.81	
2020-09-08 14:00:00	3.81	
2020-09-08 15:00:00	3.53	
2020-09-08 16:00:00	4.81	
2020-09-08 17:00:00	3.7	
2020-09-08 18:00:00	2.69	
2020-09-08 19:00:00	1.99	
2020-09-08 20:00:00	1.96	
2020-09-08 21:00:00	1.9	
2020-09-08 22:00:00	1.89	
2020-09-08 23:00:00	1.84	
2020-09-09 00:00:00	1.87	
2020-09-09 01:00:00	1.89	
2020-09-09 02:00:00	1.86	
2020-09-09 03:00:00	1.89	
2020-09-09 04:00:00	1.81	
2020-09-09 05:00:00	1.77	
2020-09-09 06:00:00	1.9	
2020-09-09 07:00:00	1.8	
2020-09-09 08:00:00	1.84	
2020-09-09 09:00:00	3.24	
2020-09-09 10:00:00	11.67	
2020-09-09 11:00:00	10.29	
2020-09-09 12:00:00	10.69	
2020-09-09 13:00:00	6.07	
2020-09-09 14:00:00	7.85	
2020-09-09 15:00:00	6.76	
2020-09-09 16:00:00	3.58	
2020-09-09 17:00:00	3.29	
2020-09-09 18:00:00	2.85	
2020-09-09 19:00:00	2.53	
2020-09-09 20:00:00	2.0	
2020-09-09 21:00:00	1.92	
2020-09-09 22:00:00	1.93	
2020-09-09 23:00:00	1.99	
2020-09-10 00:00:00	1.76	
2020-09-10 01:00:00	1.9	
2020-09-10 02:00:00	1.83	
2020-09-10 03:00:00	1.71	
2020-09-10 04:00:00	1.88	
2020-09-10 05:00:00	1.85	
2020-09-10 06:00:00	1.92	
2020-09-10 07:00:00	1.83	
2020-09-10 08:00:00	1.87	
2020-09-10 09:00:00	2.3	
2020-09-10 10:00:00	2.64	
2020-09-10 11:00:00	2.65	
2020-09-10 12:00:00	2.64	
2020-09-10 13:00:00	2.13	
2020-09-10 14:00:00	6.97	
2020-09-10 15:00:00	8.95	
2020-09-10 16:00:00	8.79	
2020-09-10 17:00:00	5.32	
2020-09-10 18:00:00	3.61	
2020-09-10 19:00:00	1.91	
2020-09-10 20:00:00	1.9	
2020-09-10 21:00:00	2.05	
2020-09-10 22:00:00	1.93	
2020-09-10 23:00:00	1.96	
2020-09-11 00:00:00	1.87	
2020-09-11 01:00:00	1.89	
2020-09-11 02:00:00	1.85	
2020-09-11 03:00:00	1.88	
2020-09-11 04:00:00	1.77	
2020-09-11 05:00:00	1.83	
2020-09-11 06:00:00	1.82	
2020-09-11 07:00:00	1.88	
2020-09-11 08:00:00	1.83	
2020-09-11 09:00:00	2.31	
2020-09-11 10:00:00	3.24	
2020-09-11 11:00:00	3.71	
2020-09-11 12:00:00	3.28	
2020-09-11 13:00:00	3.47	
2020-09-11 14:00:00	3.23	
2020-09-11 15:00:00	3.3	
2020-09-11 16:00:00	3.34	
2020-09-11 17:00:00	3.0	
2020-09-11 18:00:00	3.3	
2020-09-11 19:00:00	2.03	
2020-09-11 20:00:00	1.89	
2020-09-11 21:00:00	2.0	
2020-09-11 22:00:00	1.96	
2020-09-11 23:00:00	1.9	
2020-09-12 00:00:00	1.96	
2020-09-12 01:00:00	2.0	
2020-09-12 02:00:00	1.82	
2020-09-12 03:00:00	2.0	
2020-09-12 04:00:00	1.95	
2020-09-12 05:00:00	2.0	
2020-09-12 06:00:00	2.01	
2020-09-12 07:00:00	1.94	
2020-09-12 08:00:00	1.87	
2020-09-12 09:00:00	1.9	
2020-09-12 10:00:00	1.95	
2020-09-12 11:00:00	1.93	
2020-09-12 12:00:00	2.03	
2020-09-12 13:00:00	1.89	
2020-09-12 14:00:00	1.96	
2020-09-12 15:00:00	1.98	
2020-09-12 16:00:00	1.88	
2020-09-12 17:00:00	1.91	
2020-09-12 18:00:00	2.01	
2020-09-12 19:00:00	1.93	
2020-09-12 20:00:00	2.04	
2020-09-12 21:00:00	1.88	
2020-09-12 22:00:00	2.08	
2020-09-12 23:00:00	1.95	
2020-09-13 00:00:00	1.9	
2020-09-13 01:00:00	1.9	
2020-09-13 02:00:00	1.86	
2020-09-13 03:00:00	1.93	
2020-09-13 04:00:00	1.91	
2020-09-13 05:00:00	1.94	
2020-09-13 06:00:00	1.88	
2020-09-13 07:00:00	1.91	
2020-09-13 08:00:00	1.96	
2020-09-13 09:00:00	1.93	
2020-09-13 10:00:00	1.92	
2020-09-13 11:00:00	1.87	
2020-09-13 12:00:00	1.93	
2020-09-13 13:00:00	2.1	
2020-09-13 14:00:00	1.91	
2020-09-13 15:00:00	2.04	
2020-09-13 16:00:00	1.92	
2020-09-13 17:00:00	1.96	
2020-09-13 18:00:00	2.02	
2020-09-13 19:00:00	2.0	
2020-09-13 20:00:00	2.05	
2020-09-13 21:00:00	1.84	
2020-09-13 22:00:00	2.01	
2020-09-13 23:00:00	1.94	
2020-09-14 00:00:00	1.87	
2020-09-14 01:00:00	1.92	
2020-09-14 02:00:00	1.94	
2020-09-14 03:00:00	1.87	
2020-09-14 04:00:00	1.92	
2020-09-14 05:00:00	1.92	
2020-09-14 06:00:00	1.93	
2020-09-14 07:00:00	1.85	
2020-09-14 08:00:00	1.87	
2020-09-14 09:00:00	3.03	
2020-09-14 10:00:00	7.44	
2020-09-14 11:00:00	8.17	
2020-09-14 12:00:00	8.96	
2020-09-14 13:00:00	5.11	
2020-09-14 14:00:00	7.88	
2020-09-14 15:00:00	8.1	
2020-09-14 16:00:00	5.33	
2020-09-14 17:00:00	3.95	
2020-09-14 18:00:00	2.91	
2020-09-14 19:00:00	1.9	
2020-09-14 20:00:00	2.04	
2020-09-14 21:00:00	1.91	
2020-09-14 22:00:00	1.92	
2020-09-14 23:00:00	1.95	
2020-09-15 00:00:00	1.87	
2020-09-15 01:00:00	1.85	
2020-09-15 02:00:00	1.84	
2020-09-15 03:00:00	1.83	
2020-09-15 04:00:00	1.8	
2020-09-15 05:00:00	1.91	
2020-09-15 06:00:00	1.77	
2020-09-15 07:00:00	1.79	
2020-09-15 08:00:00	1.84	
2020-09-15 09:00:00	2.75	
2020-09-15 10:00:00	8.3	
2020-09-15 11:00:00	8.24	
2020-09-15 12:00:00	8.17	
2020-09-15 13:00:00	4.73	
2020-09-15 14:00:00	8.53	
2020-09-15 15:00:00	8.41	
2020-09-15 16:00:00	6.71	
2020-09-15 17:00:00	4.47	
2020-09-15 18:00:00	3.15	
2020-09-15 19:00:00	1.96	
2020-09-15 20:00:00	2.03	
2020-09-15 21:00:00	1.96	
2020-09-15 22:00:00	1.92	
2020-09-15 23:00:00	1.96	
2020-09-16 00:00:00	1.92	
2020-09-16 01:00:00	1.92	
2020-09-16 02:00:00	1.89	
2020-09-16 03:00:00	1.92	
2020-09-16 04:00:00	1.87	
2020-09-16 05:00:00	1.92	
2020-09-16 06:00:00	1.91	
2020-09-16 07:00:00	1.85	
2020-09-16 08:00:00	1.91	
2020-09-16 09:00:00	2.86	
2020-09-16 10:00:00	8.65	
2020-09-16 11:00:00	8.34	
2020-09-16 12:00:00	8.21	
2020-09-16 13:00:00	4.12	
2020-09-16 14:00:00	6.8	
2020-09-16 15:00:00	8.46	
2020-09-16 16:00:00	4.45	
2020-09-16 17:00:00	4.42	
2020-09-16 18:00:00	4.34	
2020-09-16 19:00:00	2.06	
2020-09-16 20:00:00	1.91	
2020-09-16 21:00:00	2.02	
2020-09-16 22:00:00	1.95	
2020-09-16 23:00:00	2.0	
2020-09-17 00:00:00	1.84	
2020-09-17 01:00:00	1.94	
2020-09-17 02:00:00	1.79	
2020-09-17 03:00:00	1.93	
2020-09-17 04:00:00	1.87	
2020-09-17 05:00:00	1.92	
2020-09-17 06:00:00	1.75	
2020-09-17 07:00:00	1.93	
2020-09-17 08:00:00	1.83	
2020-09-17 09:00:00	3.38	
2020-09-17 10:00:00	7.31	
2020-09-17 11:00:00	10.28	
2020-09-17 12:00:00	8.7	
2020-09-17 13:00:00	6.1	
2020-09-17 14:00:00	5.82	
2020-09-17 15:00:00	4.62	
2020-09-17 16:00:00	4.97	
2020-09-17 17:00:00	3.97	
2020-09-17 18:00:00	2.79	
2020-09-17 19:00:00	1.97	
2020-09-17 20:00:00	1.91	
2020-09-17 21:00:00	1.91	
2020-09-17 22:00:00	1.87	
2020-09-17 23:00:00	1.91	
2020-09-18 00:00:00	1.84	
2020-09-18 01:00:00	1.77	
2020-09-18 02:00:00	1.86	
2020-09-18 03:00:00	1.88	
2020-09-18 04:00:00	1.87	
2020-09-18 05:00:00	1.91	
2020-09-18 06:00:00	1.8	
2020-09-18 07:00:00	1.85	
2020-09-18 08:00:00	1.72	
2020-09-18 09:00:00	2.66	
2020-09-18 10:00:00	7.96	
2020-09-18 11:00:00	8.2	
2020-09-18 12:00:00	7.92	
2020-09-18 13:00:00	4.67	
2020-09-18 14:00:00	5.8	
2020-09-18 15:00:00	8.31	
2020-09-18 16:00:00	4.78	
2020-09-18 17:00:00	4.62	
2020-09-18 18:00:00	2.81	
2020-09-18 19:00:00	2.15	
2020-09-18 20:00:00	1.89	
2020-09-18 21:00:00	1.89	
2020-09-18 22:00:00	1.88	
2020-09-18 23:00:00	1.88	
2020-09-19 00:00:00	1.79	
2020-09-19 01:00:00	1.86	
2020-09-19 02:00:00	1.76	
2020-09-19 03:00:00	1.89	
2020-09-19 04:00:00	1.75	
2020-09-19 05:00:00	1.93	
2020-09-19 06:00:00	1.8	
2020-09-19 07:00:00	1.84	
2020-09-19 08:00:00	1.8	
2020-09-19 09:00:00	1.84	
2020-09-19 10:00:00	1.8	
